sentence_id,sentence_label,sentence_text
4,0,"[['got', 'sadly', 'works', 'uk', 'amp', 'us', 'moment']]"
6,0,"[['way', 'early', 'like']]"
10,0,"[['awesome'], ['miss', 'boy', 'much'], ['hoping', 'come', 'back', 'na']]"
11,0,"[['people', 'keep', 'following', 'randomly', 'stop'], ['makes', 'sad']]"
12,0,"[['pay', 'hundred', 'occasional', 'kids', 'house', 'metered'], ['sound', 'high']]"
13,0,"[['free', 'day']]"
15,0,"[['watching', 'death', 'race', 'dead']]"
17,0,"[['really', 'finish', 'cs', 'turned'], ['able', 'better', 'though'], ['less', 'distractions']]"
18,0,"[['wants', 'go']]"
19,0,"[['wow', 'welcome', 'home', 'well', 'shit', 'especially', 'coming', 'back', 'holiday'], ['fucking', 'people']]"
23,0,"[['please', 'good', 'honest']]"
25,0,"[['wish', 'think', 'fundraising', 'tips', 'related', 'fundraising', 'going', 'great'], ['v', 'depressed']]"
26,0,"[['last', 'day', 'tomorrow']]"
28,0,"[['work', 'today']]"
32,0,"[['better', 'excuse', 'parrot', 'ate', 'headset'], ['literally', '2', '40', 'mins', 'blew', '160']]"
33,0,"[['mums', 'soup', 'made', 'stomach', 'make', 'nasty', 'noises']]"
35,0,"[['super', 'taco'], ['walk', 'school'], ['testing', 'today']]"
36,0,"[['got', '8', 'sit', '2', 'hr', 'mass'], ['like', '2', 'alright'], ['late']]"
40,0,"[['stuffy', 'nose']]"
46,0,"[['exchanging', 'laptop', 'arrived']]"
47,0,"[['know', 'johnsons', 'baby', 'use', 'animals', 'like', 'cute', 'bunnies', 'test', 'products']]"
49,0,"[['watching', 'dj', 'emir', 'battle', 'computer', 'supreme', 'ruler', 'studio'], ['think', 'computer', 'winning']]"
50,0,"[['afraid', 'fly'], ['straight', 'refuse', 'get', 'plane'], ['sucks', 'really', 'limits', 'go']]"
53,0,"[['update', 'new', 'version', 'lost'], ['new', 'software', 'update', 'killed', 'ipod']]"
55,0,"[['yes', 'lot', 'stress', 'dealing']]"
56,0,"[['today', 'realized', 'good', 'hiding', 'things', 'even', 'ca', 'find']]"
57,0,"[['gentlemen'], ['got', 'class', 'wednesdays'], ['thanks', 'anyway', '3']]"
59,0,"[['late'], ['good', 'luck', 'work', 'tomorrow', 'knackered'], ['love']]"
60,0,"[['ca', 'sleep'], ['work'], ['know', 'problem']]"
62,0,"[['tired', 'reason', 'going', 'bed', 'late', 'sleeping', 'lately', 'makes', 'angry']]"
63,0,[['missing']]
65,0,"[['cant', 'find', 'u']]"
68,0,[['morning']]
70,0,"[['back', 'school', 'tomorrow']]"
71,0,"[['ca', 'sleep', 'feeling', 'great']]"
72,0,"[['driving', 'parents', 'chilling'], ['well', 'sun', 'shining', 'feel', 'well', 'today']]"
74,0,"[['seriously', 'tired'], ['need', 'deep', 'sleep', 'tossing', 'turning', 'moan', 'moan', 'moan']]"
78,0,"[['ca'], ['much', 'learn', 'tomorrow', 'noon']]"
79,0,"[['new', 'post']]"
80,0,"[['starting', 'resent', 'always', 'struck', 'creativity', 'midnight', 'get', 'work', 'morning']]"
83,0,"[['seems', 'looking', 'new', 'job'], ['told', 'office', 'closing']]"
86,0,"[['napping'], ['point', 'may', 'need'], ['na', 'come', 'early']]"
88,0,"[['twitter', 'really', 'messed', 'last', 'night']]"
90,0,"[['fine', 'things', 'busy', 'gets', 'hard', 'quieter', 'times']]"
91,0,"[['got', 'back', 'funeral', 'government']]"
96,0,"[['story', 'looking', 'comes', 'read', 'vet', 'visit'], ['may', 'help']]"
97,0,"[['put', 'profile', 'picture', 'sorry', 'know']]"
106,0,"[['really', 'jealous']]"
110,0,"[['ill', 'sucks']]"
111,0,"[['end', 'college', 'road', 'trip', 'always', 'makes', 'cry'], ['sad']]"
113,0,"[['56', 'min', 'till', 'home', 'time', 'counting'], ['craving', 'visit', 'mac', 'store', 'closed', 'time', 'get']]"
114,0,"[['oh', 'em', 'gee'], ['love', 'want', 'want', 'want'], ['lusting', 'things', 'afford']]"
117,0,[['harsh']]
120,0,[['fucked']]
125,0,"[['going', 'work']]"
126,0,"[['thanks', 'hun'], ['appointment', 'travel', 'hour', 'get'], ['hope', 'feeling', 'better', 'soon']]"
127,0,[]
131,0,"[['traffic', 'bad', 'normal', 'super', 'early', 'meeting']]"
134,0,"[['call', 'retarded', 'figured', 'see', 'replies', 'twitter', 'game', 'point']]"
