sentence_id,sentence_label,sentence_text
4,0,got sadly works uk amp us moment
6,0,b ##le ##hh ##hh ##hh ##hh ##h way early feels like pu ##king
10,0,tx ##tch ##at jake l ##m ##fa ##o fr ##ik ##kin awesome miss e ##ffin boy much aw ##w ##w hoping would come back na xx ##xx
11,0,people keep following randomly stop makes sad
12,0,pay hundred occasional kids house meter ##ed sound high
13,0,free day
15,0,watching death race ##fo ##und sandra ##tu dead
17,0,u ##gh ' really finish cs turned able better though less distraction ##s lo ##l
18,0,wants go easter ##fest
19,0,wow welcome home eh ' well shit especially coming back holiday fucking people
23,0,please ##t ' good honest
25,0,wish could think fundraising tips ##giving related alt ##ho fundraising going great tb ##h v depressed
26,0,last day l ##sh ##s tomorrow
28,0,work today
32,0,better excuse quo ##tm ##y parrot ate heads ##et ##qu ##ot literally min ##s blew sob
33,0,mum ##s soup made stomach make nasty noises
35,0,super ta ##co walk school im testing today ##x
36,0,ha ##ha got sit hr mass umm like ##h alright late
40,0,stuff ##y nose
46,0,exchanging laptop ' arrived
47,0,know johnson ##s baby use animals like cute bun ##nies test products
49,0,watching dj emir battle computer supreme ruler studio think computer winning
50,0,' afraid fly straight refuse get plane sucks really limits go
53,0,update itunes new version b lost new software update killed ipod
55,0,yes unfortunately lot stress ' dealing lately
56,0,today realized good hiding things even ' find
57,0,nah gentlemen got class wednesday ##s thanks anyway ##lt
59,0,gee ##z ' late good luck work tomorrow soo ##oo kn ##acker ##ed love
60,0,' sleep work ' know problem
62,0,' tired reason going bed late sleeping lately makes angry
63,0,mit ##ea missing
65,0,##t find u
68,0,iv ##e tx ##t morning
70,0,dam ##m back school tomorrow
71,0,u ##gh ' sleep ' feeling great
72,0,driving parents chilling well sun shining ' feel well today
74,0,seriously tired need deep sleep piss ##y tossing turning moan moan moan
78,0,' much learn w ##wi tomorrow noon
79,0,new post
80,0,starting res ##ent always struck creativity midnight get work morning
83,0,ee ##ek seems ' looking new job told office closing
86,0,nap ##ping point may need gma gonna come early
88,0,twitter really messed last night
90,0,' fine things busy gets hard quieter times
91,0,got back funeral government employee ##fr ##ien ##d
96,0,story life ##sto ##p looking ic ##ais ##fra ##nk comes read vet visit memories ##ph ##oto ##s may help
97,0,ar ##gh ##hh ##hh ##h ##t put profile picture im sorry guys ##t know
106,0,really jealous
110,0,ill sucks
111,0,end college road trip always makes cry sad
113,0,min till home time counting craving visit mac store closed time get
114,0,oh em gee love want want want lust ##ing things cannot afford
117,0,harsh
120,0,facebook fucked
125,0,going work
126,0,thanks hu ##n appointment ' pm travel hour get hope ' feeling better soon
127,0,oh ##no ##es ' ban ##sal
131,0,traffic bad normal super early meeting
134,0,call ##tar ##ded ##bu ##t figured see replies ##my twitter game point
135,0,ar ##gh got early girls aloud freshly squeezed video
137,0,' excited live wales
141,0,u ##gh horrible ending sandra kant ##u story prayers go
142,0,going sleep toni ##te
146,0,u ##gh sound class kill ' get home ##h
148,0,still ' find keys
149,0,heard making announcements trying find mother looked worried
150,0,trying really hard get sick stuff took get rid cough
151,0,gonna start rev ##ising exams may
152,0,##s bad
153,0,' give five ##r towards fine much im skin ##t paying al darling ##s eyebrow wax ##ing
154,0,says ang tag ##al nam ##an ng may
155,0,##e ' sure want associate violet product may ##thi ##nk screen name
156,0,km bike ' hot n sweaty ##m marathon continues
158,0,let ' hope sore throat clears break precursor illness holidays
159,0,woke find cold ##fl ##uil ##ln ##ess ##type thing ' going without fight apparently beats sleep sorry keynote
160,0,poor spartans
161,0,twitter changed past weeks view pages ##wee ##ts phone selecting ' older ' repeatedly shows page
165,0,' want walk home snow wants pick
166,0,love buck
169,0,wishing home underneath covers
170,0,really wish could see eddie ##zza ##rd tour damn stupid expensive tickets cake death
175,0,prodigy ace last night managed hours sleep last night feeling today cool day guys
176,0,nothing new old boring crap least ##s sunshine ##and tequila ##s new u fun
178,0,' sorry maybe walking around goofy store would help ##hin ##t hint lt
179,0,next us airing ##s mon apr ##df ##as ##df ##as ##df ' wanna wait long
181,0,got denied sexual contact disney movie rock none pleased
185,0,' frankly disappointed offended blogger writing fu penguin
186,0,' gonna get late tomorrow ' gonna get tips ##y lone ##some ' st ##hat ' sad
194,0,wait minutes next bus home need car bad
199,0,sr ##sl ##y understood first time think answer seconds repeating lt ##eng ##lish pissed
200,0,uh uh poor paul ##s weather good ole ld ##n town heading ur way friday
201,0,oh tu ##mmy bug hope u get better soon xx think back briefly nam ##ha ##ve text reply yet xx
202,0,back land living ala ##s head work
204,0,sigh mostly mid ##d hs ##nging friends damn growing p
205,0,' mum ##s birthday im glad likes press ##ies ' looking forward party time later week sad im going cornwall
209,0,om ##g bed making sick ##t even sleep
210,0,email ##ed yesterday u never responded
214,0,lay ##in bed co ##s tu ##mmy beat ##box ##n b ##d hd wake ' eat un ##burn ##able cal ##ories nt g ##d quota ##bs ##qu ##ot hungry
218,0,iv ##e awake long feels pm ##h
219,0,thank however hate list includes convicts
222,0,even four day week seems long want stay bed
223,0,##oo ##oo ##oo ##o cold
225,0,yeah
227,0,hey doll sorry hear bout ur dogg ##ie hope comes home soon would help u look ' far away
228,0,im morning person never prefer night
230,0,got combined ear tooth ##ache wants rip face stamps foot
231,0,' take heat ' like oven feel sick nw ##o
233,0,preparing quotes day ti ##ring job
234,0,needing love
235,0,ha ##ha cried guess
236,0,' disneyland ah ##aha ' sad pine ##apple stand closed dollars
238,0,still feel fe ##cki ##n ars ##eh ##ole ##da sign old age thinks
239,0,problem ' appealing wide enough audience even though think may
240,0,pl ##s pl ##s photos im gonna sign facebook see photos put flick ##r something
244,0,pm asked teacher speak project said ##o happy might sp ##ew ##ed
246,0,ye ##a quiet around cu ##z everyone work im bored death nobody talk
247,0,aw sorry hear ' know ' without jeans winter
248,0,ha ##aa ##aa want mac amp cheese ##oo ##oo ha ##ha ##ha ##ha hey ##i still got one u left ##i guess im making today ##o lo ##l
251,0,take easy good
252,0,saw little huge sting ##ray foot ##dee ##p water cats ##eye beach low tide turtles yet
255,0,today day fast amp feel may break b go bed must hold til end w ##k must stayed focused wish luck
257,0,really want play sings ##tar sings ##tar discs scratched
259,0,needs another copy visual studio
261,0,aw ##w ##w ellie sounds sick poor thing
262,0,##s messed
266,0,maybe unclear ' planning post website later usual today due technical issues
267,0,wishes restaurant city pet society could ported iphone ##ito ##uch
271,0,' nice day chi ##bi stuck home waiting parcel
272,0,following twitter accounts report earthquakes situation ab ##ru ##zzo italy good dead photos
273,0,yu ##p
274,0,headache ##it ##t go away ##t want ##d pan ##ado ##llo ##ls ##eri ##ously though hurts
275,0,thanks ##t ##wee ##t despite despair buy box ja ##ffa cakes would go ##way making amend ##s
276,0,aching
280,0,download ##ing ni ##n ' new album quo ##tt ##he slip ##qu ##ot hell come ' behind times days
281,0,##h yeah sha ##ki ##ly conquered ladder pointless job tho ' far away receive digital signal w antenna
283,0,ok think ' finally done work yesterday beer tv hitting sack back around
285,0,ars ##e totally forgot web ##ina ##r wanted attend morning ' never know secure virtual ##ised environments
288,0,day work ##week ##fast ##for ##ward thursday please
290,0,afraid gi notes read
291,0,' playing west end busy seeing e ##qu ##us catch closed blame dan
292,0,td ##y school r ##ly boring pm hoping ' pm could use lap ##t longer time passes r ##l fast
293,0,hoping post ##y delivers pink tickets
294,0,currently watching quo ##tro ##om ##mates ##qu ##ot miss nyc
